,EXCLUDE,ON,ROUTE_SHORT_NAME,OFF,STOP_ID
870,1,20.824454445771266,48,7.914359379018072,3510
1066,1,13.240148046398046,18,17.381743603618602,3632
1159,1,0.3333333333333333,M-OWL,0.0,3719
2058,1,1491.4381245507113,28,31.59909136488039,4341
2060,1,359.8499197969786,28L,0.0,4341
2062,1,379.6985425443364,54,0.0,4341
2312,1,15.666805178067749,56,3.99996019922326,4575
2556,1,86.61531548889229,44,136.63648043598525,4771
2557,1,161.19449481723748,44,81.53615793716824,4772
2629,1,20.095774568050185,9,69.39254429345367,4808
2630,1,6.331012011930237,9,4.873433860445119,4809
2631,1,3.3412418382224764,9,1.6563375350140055,4809
2898,1,0.3,9,21.694772917965523,4895
2899,1,272.159934980352,9,33.15498553553497,4895
3146,1,23.40891514576758,29,2.387927053694511,5020
3147,1,1.0153976827216793,29,18.13049431186157,5021
3148,1,4.948704123528055,29,0.0,5022
3149,1,0.6492236798433431,29,10.60854802832873,5023
3414,1,9.090590733968794,29,0.6610901241230437,5266
3415,1,0.8630878234045809,29,5.602244748343476,5267
3587,1,2.3866917943155648,29,0.8924641012195881,5345
3588,1,0.3258912211122463,29,3.3397968294356466,5346
3589,1,2.25592153884593,29,1.7740365246901832,5347
3590,1,0.21132232820160976,29,1.516804345202578,5348
3598,1,1.5687711250603575,29,0.0,5373
3600,1,24.009334477762586,29,4.577938923971379,5375
3601,1,7.802813120277575,29,17.746970071714248,5376
3602,1,6.793403138205045,29,0.2404485049833887,5377
3603,1,4.386050027950352,29,3.014257217720088,5378
3604,1,1.03323429676953,29,0.0,5379
3605,1,1.768661099087467,29,5.755552164345541,5380
3634,1,2.859191093237213,29,0.664424218440839,5408
3981,1,760.8656352973003,14,39.53167487133381,5585
3982,1,333.32679159318053,14L,4.307572535186914,5585
3983,1,103.35873015873017,14X,0.5812996031746032,5585
3991,1,56.75157187213984,14,250.6884288625995,5588
3992,1,2.3028269702942907,14L,76.33365361671734,5588
3993,1,1.1983796296296296,14X,120.81959325396824,5588
4012,1,27.57303236530057,14,850.1016065821194,5594
4013,1,6.076210922640661,14L,443.029654166035,5594
4014,1,2.403075396825397,14X,153.83500330687832,5594
4142,1,1.3333333333333333,K-OWL,0.0,5639
4144,1,0.3333333333333333,M-OWL,0.0,5639
4263,1,1.3333333333333333,K-OWL,0.3333333333333333,5655
4265,1,1.3333333333333333,M-OWL,0.3333333333333333,5655
4276,1,1.0,M-OWL,0.0,5656
4284,1,2.0,K-OWL,0.0,5657
4286,1,1.3333333333333333,M-OWL,0.0,5657
4304,1,0.3333333333333333,K-OWL,2.333333333333333,5661
4306,1,1.0,M-OWL,1.3333333333333333,5661
4331,1,0.3333333333333333,M-OWL,0.0,5669
4336,1,1.0,K-OWL,1.0,5672
4356,1,1.0,K-OWL,0.3333333333333333,5676
4358,1,1.3333333333333333,M-OWL,0.0,5676
4366,1,1.0,K-OWL,0.0,5678
4374,1,0.3333333333333333,K-OWL,0.0,5679
4376,1,0.6666666666666666,M-OWL,0.0,5679
4380,1,0.6666666666666666,K-OWL,0.3333333333333333,5681
4436,1,0.6666666666666666,K-OWL,0.0,5694
4438,1,0.6666666666666666,M-OWL,0.3333333333333333,5694
4446,1,2.333333333333333,K-OWL,0.0,5695
4448,1,1.0,M-OWL,0.3333333333333333,5695
4454,1,3.6666666666666665,K-OWL,2.333333333333333,5696
4456,1,1.6666666666666667,M-OWL,1.3333333333333333,5696
4629,1,0.3333333333333333,K-OWL,0.0,5798
4805,1,3.804930214134124,29,2.440697904773159,5908
4806,1,0.06354410616705697,29,0.1713281236201921,5909
5238,1,1.6666666666666667,M-OWL,0.0,6175
5323,1,0.3333333333333333,M-OWL,0.0,6259
5336,1,260.00952380952384,14X,0.0,6283
5599,1,38.11866213686428,9,141.88920886340532,6384
5600,1,172.90956197463694,9,16.581572999710037,6385
5603,1,34.61482415914453,9,3.611337302978346,6388
5604,1,11.669199403427589,9,35.18626609285279,6389
5642,1,2.897156084656084,18,10.87310952935953,6429
5643,1,4.48529421966922,18,4.4237847800347785,6430
5644,1,1.770786852036852,18,16.592304570429572,6431
5738,1,0.3333333333333333,K-OWL,0.0,6497
5742,1,0.6666666666666666,M-OWL,0.0,6497
5756,1,2.6666666666666665,K-OWL,1.6666666666666667,6501
6541,1,0.3333333333333333,M-OWL,0.0,6937
6645,1,2.733373745865705,29,1.4165137614678898,7027
6684,1,1051.9426534627773,14,6.950285958365807,7099
6686,1,213.17375156010777,14L,0.0,7099
6687,1,1.3722222222222218,14X,59.58333333333334,7099
6688,1,206.1193948412698,14X,0.5031746031746032,7099
6697,1,0.3333333333333333,K-OWL,0.0,7125
6700,1,50.39191928638042,9,160.09160459947873,7127
6878,1,99.17105084489029,29,0.0,7383
6880,1,1.0603672086422742,29,1.0703363914373092,7385
6882,1,38.926727855050025,29,35.74598037676485,7387
6884,1,0.6295030550844504,29,0.0,7389
6938,1,784.6358585858586,14L,236.26353535353542,7554
6939,1,99.79047619047621,14X,3.1,7554
